iter	Logloss
0	0.6669158625
1	0.6348500934
2	0.6076575942
3	0.5874010493
4	0.5667509204
5	0.5493724075
6	0.5316591997
7	0.5142942512
8	0.4972084224
9	0.4898449611
10	0.4807803036
11	0.4722976016
12	0.4627922848
13	0.4557052343
14	0.4475306152
15	0.4400657845
16	0.4336031215
17	0.4254345047
18	0.4221495779
19	0.4163583573
20	0.4112954214
21	0.4065161265
22	0.4015400215
23	0.3977030252
24	0.393698235
25	0.3905481726
26	0.3877461977
27	0.3833460745
28	0.380708065
29	0.3777854815
30	0.3752912574
31	0.374234563
32	0.3713776237
33	0.3671501911
34	0.365443914
35	0.3638681854
36	0.3607978852
37	0.3593944461
38	0.357088056
39	0.35437335
40	0.3527987082
41	0.3507765853
42	0.3490601804
43	0.3478526322
44	0.3458403142
45	0.343820504
46	0.3414336962
47	0.3401633294
48	0.3387517468
49	0.3374204872
50	0.3365305003
51	0.3350210493
52	0.3327298847
53	0.3322864569
54	0.3303809279
55	0.3298039491
56	0.3280809176
57	0.3268132143
58	0.3256853916
59	0.3248723066
60	0.3239822974
61	0.323026537
62	0.3220231405
63	0.3207862872
64	0.3194562312
65	0.3180926288
66	0.3145366555
67	0.3127155836
68	0.3120795588
69	0.3107560489
70	0.3104083774
71	0.3095703729
72	0.3080475418
73	0.3074220451
74	0.307167667
75	0.3064998583
76	0.3046358612
77	0.3029312148
78	0.302097457
79	0.3007819598
80	0.2996807654
81	0.2979464132
82	0.2979140825
83	0.2961744995
84	0.2944840275
85	0.293712298
86	0.2935362476
87	0.293045553
88	0.2920111258
89	0.2915357018
90	0.2906322147
91	0.2889872029
92	0.287252745
93	0.2856089846
94	0.2847425867
95	0.2836876671
96	0.2817650665
97	0.2806553632
98	0.2802720875
99	0.2792545488
100	0.2783846997
101	0.27747279
102	0.2772457075
103	0.276522272
104	0.2758872789
105	0.2751370472
106	0.2739400988
107	0.2727191604
108	0.2718055251
109	0.2715849454
110	0.2709404438
111	0.2691761795
112	0.2683435341
113	0.2677213018
114	0.2660731016
115	0.2650884109
116	0.2642305877
117	0.263858534
118	0.2632384159
119	0.2626550918
120	0.2623065155
121	0.2612437833
122	0.2607375218
123	0.260034177
124	0.2592706207
125	0.2584195143
126	0.2577721739
127	0.2566805188
128	0.256578074
129	0.2552701313
130	0.2545936119
131	0.2530958474
132	0.2513583075
133	0.2506392817
134	0.2494984878
135	0.2486018774
136	0.2484999659
137	0.2479066632
138	0.2470472925
139	0.246431713
140	0.2455716344
141	0.2445404923
142	0.2442395342
143	0.2436380977
144	0.2427586896
145	0.2415417763
146	0.241519588
147	0.2407304
148	0.2398588421
149	0.2393917932
150	0.2391100947
151	0.238787329
152	0.2383401878
153	0.2374894895
154	0.2357707566
155	0.2338435606
156	0.2332559188
157	0.2328019197
158	0.231435701
159	0.2309073282
160	0.23032011
161	0.228966779
162	0.2274457598
163	0.2271069417
164	0.2266676151
165	0.2250427711
166	0.2245766551
167	0.2233778441
168	0.2220381967
169	0.2217052448
170	0.2215889006
171	0.2208805433
172	0.2196083095
173	0.2192284133
174	0.219173838
175	0.2173441009
176	0.2158651813
177	0.2153705953
178	0.2151265942
179	0.2145628163
180	0.2136468055
181	0.2124764936
182	0.2123893783
183	0.2121881045
184	0.2120811049
185	0.2100661845
186	0.2098110308
187	0.2096973724
188	0.2085503846
189	0.2067306416
190	0.2058115474
191	0.2050107267
192	0.2039828645
193	0.203597324
194	0.2026694111
195	0.2022830101
196	0.2016524817
197	0.200461288
198	0.20038056
199	0.2002399573
200	0.199257211
201	0.1984527817
202	0.1982228382
203	0.1978240657
204	0.1977147642
205	0.1969506627
206	0.1965813434
207	0.1957387104
208	0.1951599411
209	0.1940009945
210	0.1936767534
211	0.1922236709
212	0.1919204112
213	0.1915214093
214	0.1908023635
215	0.1896907219
216	0.1890077139
217	0.1886728705
218	0.1873005551
219	0.1864512626
220	0.1857554553
221	0.1846575614
222	0.1841722264
223	0.1834863954
224	0.1829654713
225	0.1827345707
226	0.1817760931
227	0.1811215617
228	0.1806350447
229	0.180563004
230	0.1802295887
231	0.1791637051
232	0.178676752
233	0.1776049039
234	0.1772687814
235	0.1764945692
236	0.1761072531
237	0.1757629373
238	0.1756560955
239	0.1751553585
240	0.1739711375
241	0.1739366389
242	0.1734605973
243	0.1725962479
244	0.1724603679
245	0.1723695636
246	0.1723511278
247	0.1721316673
248	0.1719884904
249	0.1714553934
250	0.1707758836
251	0.1704753872
252	0.1692617552
253	0.1679172058
254	0.1678585769
255	0.1672810767
256	0.1664578426
257	0.1662144289
258	0.1661071043
259	0.1649020432
260	0.1637523593
261	0.1628123322
262	0.1627594605
263	0.1618357345
264	0.1617699376
265	0.1612149143
266	0.1604277031
267	0.1595520395
268	0.1582514677
269	0.1572457669
270	0.1569940686
271	0.1564761181
272	0.1563581138
273	0.1561028623
274	0.1556434809
275	0.1551377998
276	0.1550414033
277	0.1543950467
278	0.1540793596
279	0.1534963669
280	0.152922518
281	0.1522122942
282	0.15155789
283	0.1514861462
284	0.1513764672
285	0.1506169912
286	0.1503087388
287	0.1501296779
288	0.1497885182
289	0.1493779971
290	0.1491729055
291	0.1477871255
292	0.1473725584
293	0.1470008019
294	0.1463128962
295	0.1460592637
296	0.1458771011
297	0.1453951064
298	0.1448731146
299	0.1446049499
300	0.1442336436
301	0.1436568376
302	0.1430179504
303	0.1428240634
304	0.1418614071
305	0.1409979548
306	0.1396414908
307	0.1388747448
308	0.1385122959
309	0.137974436
310	0.1377003519
311	0.1374465094
312	0.1369305333
313	0.1366853009
314	0.1356651907
315	0.1349981169
316	0.1346198656
317	0.1340793629
318	0.1335936842
319	0.1332706405
320	0.1326824009
321	0.1322534017
322	0.1316973731
323	0.1313622857
324	0.1312366181
325	0.1309055782
326	0.13015476
327	0.1298504441
328	0.1293445761
329	0.129312377
330	0.1291895728
331	0.1289706393
332	0.1283963764
333	0.1280333209
334	0.1279464238
335	0.1277043952
336	0.1276330308
337	0.1272754809
338	0.1263677244
339	0.1260696178
340	0.125587152
341	0.1253893261
342	0.1250131277
343	0.1249639799
344	0.1247332908
345	0.1242990827
346	0.123631075
347	0.1234476073
348	0.1231874198
349	0.1227124474
350	0.1222469015
351	0.1219982543
352	0.1217346768
353	0.1213222012
354	0.1213020355
355	0.120898658
356	0.120677539
357	0.1202394849
358	0.1201868965
359	0.1196485724
360	0.1191180116
361	0.1188526147
362	0.1187991955
363	0.1187671032
364	0.1186972399
365	0.1182719687
366	0.118013984
367	0.1178782052
368	0.1177969657
369	0.1177065161
370	0.1172707305
371	0.1172380204
372	0.1165733681
373	0.1164856034
374	0.1163071136
375	0.1160315587
376	0.1159719827
377	0.1153176853
378	0.1149252923
379	0.1146132397
380	0.1145446821
381	0.1140735583
382	0.1138509153
383	0.113482704
384	0.1131956413
385	0.1127422335
386	0.1126291278
387	0.1123136565
388	0.1121935087
389	0.1121582837
390	0.111698641
391	0.1116498966
392	0.1112666156
393	0.1108558295
394	0.1100382715
395	0.1095784328
396	0.1093430843
397	0.1090764648
398	0.1086802112
399	0.1083719329
400	0.1083508911
401	0.1077966233
402	0.1077401236
403	0.1072527214
404	0.1071779847
405	0.106783321
406	0.1064190794
407	0.1063893218
408	0.1061143537
409	0.1059459649
410	0.1058840864
411	0.1056456893
412	0.1056084365
413	0.1049563156
414	0.1046749721
415	0.1038369451
416	0.1037399666
417	0.1035903331
418	0.1032328952
419	0.1030295656
420	0.1027279803
421	0.1027019379
422	0.1025252721
423	0.1022180834
424	0.1021586548
425	0.1017554858
426	0.1017051276
427	0.1016932371
428	0.1012478509
429	0.1010942684
430	0.1008832476
431	0.1005053277
432	0.1004181387
433	0.1002641788
434	0.09977548955
435	0.09918082907
436	0.09916480384
437	0.09840063945
438	0.09810911521
439	0.097846739
440	0.09781220114
441	0.09764209741
442	0.09739367176
443	0.09680699979
444	0.09659778971
445	0.09641558962
446	0.09615560904
447	0.095675762
448	0.09550506139
449	0.09526001222
450	0.0952409953
451	0.09503288857
452	0.09497018475
